,FKZ,Zuwendungsempfänger,Ausführende Stelle,Thema,Leistungsplansystematik,Klartext Leistungsplansystematik,Laufzeit von,Laufzeit bis,Fördersumme in EUR,Förderprofil,Verbundprojekt,Förderart,year,accelerator_related
999,05K16PEA,Technische Universität Dortmund,Technische Universität Dortmund - Fakultät Physik - Zentrum für Synchrotronstrahlung,"Verbundprojekt 05K2016 - LoKoFEL: Longitudinale Kohärenz am Freie-Elektronen-Laser - Kontrolle, Analyse und Anwendungen -. Teilprojekt 2: Optimierung der Laser-Elektronen-Wechselwirkung für EEHG bei FLASH.",U03054,Erforschung kondensierter Materie - mit anderen Methoden,2016-07-01,2019-12-31,283100,Erkenntnisorientierte und programmübergreifende Grundlagenforschung,05K2016 - LoKoFEL,PDIR,2016,True
1001,05K16PEB,Technische Universität Dortmund,Technische Universität Dortmund - Fakultät Physik - Zentrum für Synchrotronstrahlung,Verbundprojekt 05K2016 - NeoDyn: Neue elektronische und optische Detektorsysteme und Methoden zur Untersuchung der Dynamik hochrepetitiver kurzer Elektronenpakete. Teilprojekt 2: Gezielte Formung und Diagnose von Elektronenpaketen und Strahlungspulsen.,U03054,Erforschung kondensierter Materie - mit anderen Methoden,2016-07-01,2019-12-31,522298,Erkenntnisorientierte und programmübergreifende Grundlagenforschung,05K2016 - NeoDyn,PDIR,2016,True
1012,05K16MG2,Georg-August-Universität Göttingen,Georg-August-Universität Göttingen - Fakultät für Physik - Institut für Röntgenphysik,Strukturanalyse in biologischen Zellen: Rasterkleinwinkelstreuung und Diffraktion mit nano-fokussierter Undulatorstrahlung,U03052,Erforschung kondensierter Materie - Synchrotronstrahlen,2016-07-01,2019-06-30,520790,Erkenntnisorientierte und programmübergreifende Grundlagenforschung,"=""",PDIR,2016,True
1013,05K16MGB,Georg-August-Universität Göttingen,Georg-August-Universität Göttingen - Fakultät für Physik - Institut für Röntgenphysik,Verbundprojekt 05K2016 - WeKokUbS: Wellenfront- und Kohärenzkontrolle an Undulator-basierten Strahlquellen zur Optimierung bildgebender Verfahren. Teilprojekt 1.,U03052,Erforschung kondensierter Materie - Synchrotronstrahlen,2016-07-01,2019-06-30,308082,Erkenntnisorientierte und programmübergreifende Grundlagenforschung,05K2016 - WeKokUbS,PDIR,2016,True
1028,05K16SJB,Friedrich-Schiller-Universität Jena,Friedrich-Schiller-Universität Jena - Physikalisch-Astronomische Fakultät - Institut für Optik und Quantenelektronik,Verbundprojekt 05K2016 - PlasmaPhotokathode: Elektronenstrahlen höchster Brillanz an FLASH. Teilprojekt 2.,U03054,Erforschung kondensierter Materie - mit anderen Methoden,2016-07-01,2019-12-31,301289,Erkenntnisorientierte und programmübergreifende Grundlagenforschung,05K2016 - PlasmaPhotokathode,PDIR,2016,True
1035,05K16PDA,Rheinische Friedrich-Wilhelms-Universität Bonn,Rheinische Friedrich-Wilhelms-Universität Bonn - Mathematisch-Naturwissenschaftliche Fakultät - Physik/Astronomie - Physikalisches Institut,Verbundprojekt 05K2016 - MILOS-II: Teilprojekt 2: Charakterisierung des Ioneneinfangs und der Ionendynamik in Hochstrom-Beschleunigern.,U03054,Erforschung kondensierter Materie - mit anderen Methoden,2016-07-01,2017-12-31,78752,Erkenntnisorientierte und programmübergreifende Grundlagenforschung,05K2016 - MILOS-II,PDIR,2016,True
1036,05K16HRA,Universität Rostock,Universität Rostock - Fakultät für Informatik und Elektrotechnik - Institut für Allgemeine Elektrotechnik,Verbundprojekt 05K2016 - MILOS-II: Teilprojekt 1: STRAND: Berechnungen von Raumladungseffekten und Strahldynamik/ Design einer transversalen Kicker-Kavität.,U03054,Erforschung kondensierter Materie - mit anderen Methoden,2016-07-01,2020-06-30,290493,Erkenntnisorientierte und programmübergreifende Grundlagenforschung,05K2016 - MILOS-II,PDIR,2016,True
1045,05K16WEC,Friedrich-Alexander-Universität Erlangen-Nürnberg,Friedrich-Alexander-Universität Erlangen-Nürnberg - Naturwissenschaftliche Fakultät - Department Physik - Institut für Physik der kondensierten Materie - Lehrstuhl für Laserphysik,Verbundprojekt 05K2016 - e-fs: Elektronenstrahlkontrolle und -manipulation auf der Femtosekundenzeitskala. Teilprojekt 1: Dielektrische Laserbeschleunigung von Elektronen: von Experimenten zu neuen Laser-basierten Vakuum-Beschleunigerkonzepten zur Sub-Femtosekunden-Strahldiagnostik und optischen Undulatoren.,U03054,Erforschung kondensierter Materie - mit anderen Methoden,2016-07-01,2019-06-30,315829,Erkenntnisorientierte und programmübergreifende Grundlagenforschung,05K2016 - e-fs,PDIR,2016,True
1055,05K16RDB,Technische Universität Darmstadt,Technische Universität Darmstadt - Fachbereich Elektrotechnik und Informationstechnik - Institut für Theorie Elektromagnetischer Felder,Verbundprojekt 05K2016 - e-fs: Elektronenstrahlkontrolle und -manipulation auf der Femtosekundenzeitskala. Teilprojekt 2: Simulationen elektromagnetischer Felder in dielektrischen Laserbeschleunigungsstrukturen (DLA).,U03054,Erforschung kondensierter Materie - mit anderen Methoden,2016-07-01,2019-06-30,274049,Erkenntnisorientierte und programmübergreifende Grundlagenforschung,05K2016 - e-fs,PDIR,2016,True
1056,05K16RDA,Technische Universität Darmstadt,Technische Universität Darmstadt - Fachbereich Elektrotechnik und Informationstechnik - Institut für Theorie Elektromagnetischer Felder,Numerische Berechnung elektromagnetischer Felder in Beschleunigungsresonatoren auf der Basis von komplexwertigen Eigenlösungen,U03054,Erforschung kondensierter Materie - mit anderen Methoden,2016-07-01,2019-06-30,209737,Erkenntnisorientierte und programmübergreifende Grundlagenforschung,"=""",PDIR,2016,True
1057,05K16UMA,Johannes Gutenberg-Universität Mainz,"Johannes Gutenberg-Universität Mainz - FB 08 Physik, Mathematik und Informatik - Institut für Kernphysik",Verbundprojekt 05K2016 - HOPE-II: Hochbrillante photoinduzierte Hochfrequenz-Elektronenquellen II. Teilprojekt 2: Energieverteilung und Feldemissionsverhalten von Photokathoden mit niedriger Austrittsarbeit.,U03054,Erforschung kondensierter Materie - mit anderen Methoden,2016-07-01,2019-06-30,276697,Erkenntnisorientierte und programmübergreifende Grundlagenforschung,05K2016 - HOPE-II,PDIR,2016,True
1088,05H18RDRB2,Technische Universität Darmstadt,Technische Universität Darmstadt - Fachbereich Material- und Geowissenschaften - FG Dünne Schichten,Verbundprojekt 05H2018 - R&D BESCHLEUNIGER (STenCiL): Schlüsseltechnologien für SRF-Beschleuniger,U01013,Struktur und Wechselwirkung fundamentaler Teilchen - Aktivitäten beim CERN und bei DESY,2018-07-01,2021-06-30,961546,Erkenntnisorientierte und programmübergreifende Grundlagenforschung,05H2018 - R&D BESCHLEUNIGER (STenCiL),PDIR,2018,True
1089,05P18RFRB1,Johann Wolfgang Goethe-Universität Frankfurt am Main,Johann Wolfgang Goethe-Universität Frankfurt am Main - FB 13 Physik - Institut für Angewandte Physik,Verbundprojekt 05P2018 - R&D BESCHLEUNIGER (Hadronenlinacs): Entwicklung effizienter Nieder- und Mittelenergie-Hadronenlinearbeschleuniger,U02026,Hadronen- und Kernphysik - Aktivitäten bei FAIR,2018-07-01,2021-06-30,801710,Erkenntnisorientierte und programmübergreifende Grundlagenforschung,05P2018 - R&D BESCHLEUNIGER (Hadronenlinacs),PDIR,2018,True
1090,05P18RDRB1,Technische Universität Darmstadt,Technische Universität Darmstadt - Fachbereich Elektrotechnik und Informationstechnik - Institut für Theorie Elektromagnetischer Felder,Verbundprojekt 05P2018 - R&D BESCHLEUNIGER (DIAGNOSE): Diagnose für intensive Hadronen-Strahlen,U02026,Hadronen- und Kernphysik - Aktivitäten bei FAIR,2018-07-01,2021-06-30,618445,Erkenntnisorientierte und programmübergreifende Grundlagenforschung,05P2018 - R&D BESCHLEUNIGER (DIAGNOSE),PDIR,2018,True
1093,05H18RDRB3,Technische Universität Darmstadt,Technische Universität Darmstadt - Fachbereich Elektrotechnik und Informationstechnik - Institut für Theorie Elektromagnetischer Felder,Verbundprojekt 05H2018 - R&D BESCHLEUNIGER (HIRING): Forschung und Entwicklung für höchste Strahlintensitäten in Ringbeschleunigern,U01013,Struktur und Wechselwirkung fundamentaler Teilchen - Aktivitäten beim CERN und bei DESY,2018-07-01,2021-06-30,85556,Erkenntnisorientierte und programmübergreifende Grundlagenforschung,05H2018 - R&D BESCHLEUNIGER (HIRING),PDIR,2018,True
1094,05H18RDRB4,Technische Universität Darmstadt,Technische Universität Darmstadt - Fachbereich Elektrotechnik und Informationstechnik - Institut für Theorie Elektromagnetischer Felder,Verbundprojekt 05H2018 - R&D BESCHLEUNIGER (HIRING): Strahlungsfeste Leistungselektronik für Beschleuniger,U01013,Struktur und Wechselwirkung fundamentaler Teilchen - Aktivitäten beim CERN und bei DESY,2018-07-01,2021-12-31,183567,Erkenntnisorientierte und programmübergreifende Grundlagenforschung,05H2018 - R&D BESCHLEUNIGER (HIRING),PDIR,2018,True
1117,05H18GURB1,Universität Hamburg,"Universität Hamburg - Fakultät für Mathematik, Informatik und Naturwissenschaften - Fachbereich Physik - Institut für Experimentalphysik",Verbundprojekt 05H2018 - R&D BESCHLEUNIGER (STenCiL): Optimierung der Hochfrequenzeigenschaften supraleitender Resonatoren durch Oberflächenbehandlung,U01013,Struktur und Wechselwirkung fundamentaler Teilchen - Aktivitäten beim CERN und bei DESY,2018-07-01,2021-06-30,1258773,Erkenntnisorientierte und programmübergreifende Grundlagenforschung,05H2018 - R&D BESCHLEUNIGER (STenCiL),PDIR,2018,True
1125,05H18VKRB1,Karlsruher Institut für Technologie (Universitätsaufgabe),Karlsruher Institut für Technologie (KIT) - Fakultät für Physik - Labor für Anwendungen von Synchrotronstrahlung (LAS),"Verbundprojekt 05H2018 - R&D BESCHLEUNIGER (HIRING): FuE für höchste Strahlintensitäten in Ringbeschleunigern: Experimentelle Studien zu Wäremelast und Vakuum, Weiterentwicklung von Simulationscodes sowie Betriebssicherheit von Beschleunigern mit hochintensiven Strahlen.",U01013,Struktur und Wechselwirkung fundamentaler Teilchen - Aktivitäten beim CERN und bei DESY,2018-07-01,2022-06-30,626853,Erkenntnisorientierte und programmübergreifende Grundlagenforschung,05H2018 - R&D BESCHLEUNIGER (HIRING),PDIR,2018,True
1126,05H18HRRB1,Universität Rostock,Universität Rostock - Fakultät für Informatik und Elektrotechnik - Institut für Allgemeine Elektrotechnik,Verbundprojekt 05H2018 - R&D BESCHLEUNIGER (STenCiL): Strahl-Impedanzberechnungen für das HiLumi-Upgrade des LHC-Injektors SPS und zukünftige CERN-Großgeräte und Entwurf eines Quadrupolresonators zur genauen Messung von HF-Eigenschaften metallischer Proben,U01013,Struktur und Wechselwirkung fundamentaler Teilchen - Aktivitäten beim CERN und bei DESY,2018-07-01,2021-06-30,417350,Erkenntnisorientierte und programmübergreifende Grundlagenforschung,05H2018 - R&D BESCHLEUNIGER (STenCiL),PDIR,2018,True
1127,05P18RFRB2,Johann Wolfgang Goethe-Universität Frankfurt am Main,Johann Wolfgang Goethe-Universität Frankfurt am Main - FB 13 Physik - Institut für Angewandte Physik,Verbundprojekt 05P2018 - R&D BESCHLEUNIGER (DIAGNOSE): Entwicklung von Diagnoseverfahren für Hadronenstrahlen hoher Intensität,U02026,Hadronen- und Kernphysik - Aktivitäten bei FAIR,2018-07-01,2021-12-31,587946,Erkenntnisorientierte und programmübergreifende Grundlagenforschung,05P2018 - R&D BESCHLEUNIGER (DIAGNOSE),PDIR,2018,True
1141,05P18SJRB1,Friedrich-Schiller-Universität Jena,Friedrich-Schiller-Universität Jena - Physikalisch-Astronomische Fakultät - Institut für Optik und Quantenelektronik,Verbundprojekt 05P2018 - R&D BESCHLEUNIGER (DIAGNOSE): Innovative Kryo-Stromkomparatoren (CCC) für FAIR,U02026,Hadronen- und Kernphysik - Aktivitäten bei FAIR,2018-07-01,2021-06-30,723435,Erkenntnisorientierte und programmübergreifende Grundlagenforschung,05P2018 - R&D BESCHLEUNIGER (DIAGNOSE),PDIR,2018,True
1160,05H18RDRB1,Technische Universität Darmstadt,Technische Universität Darmstadt - Fachbereich Physik - Institut für Kernphysik,Verbundprojekt 05H2018 - R&D BESCHLEUNIGER (HIRING): Charakterisierung und Kontrolle einer brillanten Elektronenquelle auf GaAs-Basis mit langer Lebensdauer,U01013,Struktur und Wechselwirkung fundamentaler Teilchen - Aktivitäten beim CERN und bei DESY,2018-07-01,2021-12-31,147252,Erkenntnisorientierte und programmübergreifende Grundlagenforschung,05H2018 - R&D BESCHLEUNIGER (HIRING),PDIR,2018,True
1167,05H18VHRD2,Universität Heidelberg,Universität Heidelberg - Fakultät für Physik und Astronomie - Physikalisches Institut,Verbundprojekt 05H2018 - R&D DETEKTOREN (TRACKING): Entwicklung von HV-MAPS-Detektoren für Teilchenexperimente an Großbeschleunigeranlagen,U01013,Struktur und Wechselwirkung fundamentaler Teilchen - Aktivitäten beim CERN und bei DESY,2018-07-01,2021-06-30,252384,Erkenntnisorientierte und programmübergreifende Grundlagenforschung,05H2018 - R&D DETEKTOREN (TRACKING),PDIR,2018,True
1181,05H18PCRD1,Ruhr-Universität Bochum,Ruhr-Universität Bochum - Fakultät für Physik und Astronomie - Institut für Experimentalphysik I,Verbundprojekt 05H2018 - R&D DETEKTOREN (TRACKING): Entwicklung von HV-MAPS Detektoren für Teilchenexperimente an Großbeschleunigeranlagen: Integration der Teilchenidentifikation,U01013,Struktur und Wechselwirkung fundamentaler Teilchen - Aktivitäten beim CERN und bei DESY,2018-07-01,2021-06-30,257786,Erkenntnisorientierte und programmübergreifende Grundlagenforschung,05H2018 - R&D DETEKTOREN (TRACKING),PDIR,2018,True
1191,05P18UMRB1,Johannes Gutenberg-Universität Mainz,"Johannes Gutenberg-Universität Mainz - FB 08 Physik, Mathematik und Informatik - Institut für Kernphysik",Verbundprojekt 05P2018 - R&D BESCHLEUNIGER (DIAGNOSE): MAschinensicherheit für HochLeistungsbeschleunigER (MAHLER),U02026,Hadronen- und Kernphysik - Aktivitäten bei FAIR,2018-07-01,2021-12-31,181806,Erkenntnisorientierte und programmübergreifende Grundlagenforschung,05P2018 - R&D BESCHLEUNIGER (DIAGNOSE),PDIR,2018,True
1201,05H18VKRD1,Karlsruher Institut für Technologie (Universitätsaufgabe),Karlsruher Institut für Technologie (KIT) - Fakultät für Physik - Institut für Experimentelle Teilchenphysik (ETP),Verbundprojekt 05H2018 - R&D DETEKTOREN (TRACKING): Entwicklung von HV-MAPS Detektoren für Teilchenexperimente an Großbeschleunigeranlagen,U01013,Struktur und Wechselwirkung fundamentaler Teilchen - Aktivitäten beim CERN und bei DESY,2018-07-01,2021-06-30,130257,Erkenntnisorientierte und programmübergreifende Grundlagenforschung,05H2018 - R&D DETEKTOREN (TRACKING),PDIR,2018,True
1211,05H18PXRB1,Bergische Universität Wuppertal,Bergische Universität Wuppertal - Fakultät für Mathematik und Naturwissenschaften,Verbundprojekt 05H2018 - R&D BESCHLEUNIGER (STenCiL): In-situ Untersuchungen zur Wechselwirkung von Dotierung und Elektronen-Feldemission bei Nb-Resonatormaterialien,U01013,Struktur und Wechselwirkung fundamentaler Teilchen - Aktivitäten beim CERN und bei DESY,2018-07-01,2021-09-30,287810,Erkenntnisorientierte und programmübergreifende Grundlagenforschung,05H2018 - R&D BESCHLEUNIGER (STenCiL),PDIR,2018,True
1214,05P18UMRB2,Johannes Gutenberg-Universität Mainz,"Johannes Gutenberg-Universität Mainz - FB 08 Physik, Mathematik und Informatik - Institut für Kernphysik","Verbundprojekt 05P2018 - R&D BESCHLEUNIGER (Hadronenlinacs): CH-Kavitäten- Optimierung (CHOPIN) - im Hinblick auf Resonatorgüte, Feldstärke und Strahldynamik",U02026,Hadronen- und Kernphysik - Aktivitäten bei FAIR,2018-07-01,2022-03-31,699912,Erkenntnisorientierte und programmübergreifende Grundlagenforschung,05P2018 - R&D BESCHLEUNIGER (Hadronenlinacs),PDIR,2018,True
1244,05K19VK1,Karlsruher Institut für Technologie (Universitätsaufgabe),Karlsruher Institut für Technologie (KIT) - Fakultät für Physik - Labor für Anwendungen von Synchrotronstrahlung (LAS),Verbundprojekt 05K2019 - HTSSCU: Strukturierter Hochtemperatur-Supraleiter-Band-Undulator. Teilprojekt 1.,U03054,Erforschung kondensierter Materie - mit anderen Methoden,2019-07-01,2023-06-30,701910,Erkenntnisorientierte und programmübergreifende Grundlagenforschung,05K2019 - HTSSCU,PDIR,2019,True
1245,05K19VKA,Karlsruher Institut für Technologie (Universitätsaufgabe),Karlsruher Institut für Technologie (KIT) - Fakultät für Physik - Labor für Anwendungen von Synchrotronstrahlung (LAS),Verbundprojekt 05K2019 - PlasmaFEL: Laser-Plasma-Beschleuniger getriebene FEL - Erste Demonstration und fortschrittlicher Strahltransport. Teilprojekt 1.,U03054,Erforschung kondensierter Materie - mit anderen Methoden,2019-07-01,2022-12-31,351467,Erkenntnisorientierte und programmübergreifende Grundlagenforschung,05K2019 - PlasmaFEL,PDIR,2019,True
1246,05K19VKB,Karlsruher Institut für Technologie (Universitätsaufgabe),Karlsruher Institut für Technologie (KIT) - Fakultät für Physik - Labor für Anwendungen von Synchrotronstrahlung (LAS),"Verbundprojekt 05K2019 - Advanced-BAM: Entwicklung eines neuen Ankunftzeitmonitores mit sehr hoher Bandbreite für sehr geringe Ladungen als Teil der optischen Synchronisationssysteme von XFEL, FLASH und ELBE. Teilprojekt 2.",U03054,Erforschung kondensierter Materie - mit anderen Methoden,2019-07-01,2022-12-31,320798,Erkenntnisorientierte und programmübergreifende Grundlagenforschung,05K2019 - Advanced-BAM,PDIR,2019,True
1247,05K19VK2,Karlsruher Institut für Technologie (Universitätsaufgabe),Karlsruher Institut für Technologie (KIT) - Fakultät für Physik - Labor für Anwendungen von Synchrotronstrahlung (LAS),Supraleitende Undulatoren für den Europäischen XFEL.,U03054,Erforschung kondensierter Materie - mit anderen Methoden,2019-07-01,2023-03-31,620061,Erkenntnisorientierte und programmübergreifende Grundlagenforschung,"=""",PDIR,2019,True
1248,05K19VKD,Karlsruher Institut für Technologie (Universitätsaufgabe),Karlsruher Institut für Technologie (KIT) - Fakultät für Physik - Labor für Anwendungen von Synchrotronstrahlung (LAS),Verbundprojekt 05K2019 - STARTRAC: Fortgeschrittene Terahertz-Diagnostik für die Beschleunigerforschung. Teilprojekt 1.,U03054,Erforschung kondensierter Materie - mit anderen Methoden,2019-07-01,2022-12-31,391578,Erkenntnisorientierte und programmübergreifende Grundlagenforschung,05K2019 - STARTRAC,PDIR,2019,True
1249,05K19PEB,Technische Universität Dortmund,Technische Universität Dortmund - Fakultät Physik - Zentrum für Synchrotronstrahlung,Verbundprojekt 05K2019 - TiMo: Timing-Modi für fortschrittliche Synchrotronstrahlungsquellen. Teilprojekt 3: Untersuchung von TRIBs und EEHG für zukünftige Speicherringe.,U03054,Erforschung kondensierter Materie - mit anderen Methoden,2019-07-01,2023-06-30,416477,Erkenntnisorientierte und programmübergreifende Grundlagenforschung,05K2019 - TiMo,PDIR,2019,True
1250,05K19PEC,Technische Universität Dortmund,Technische Universität Dortmund - Fakultät Physik - Zentrum für Synchrotronstrahlung,Verbundprojekt 05K2019 - STARTRAC: Fortgeschrittene Terahertz-Diagnostik für die Beschleunigerforschung. Teilprojekt 2: Untersuchungen zur Strahldynamik mit THz-Detektionsmethoden.,U03054,Erforschung kondensierter Materie - mit anderen Methoden,2019-07-01,2022-12-31,282653,Erkenntnisorientierte und programmübergreifende Grundlagenforschung,05K2019 - STARTRAC,PDIR,2019,True
1255,05K19RO1,Technische Hochschule Mittelhessen,Technische Hochschule Mittelhessen - Fachbereich Informationstechnik-Elektrotechnik-Mechatronik (IEM),"Verbundprojekt 05K2019 - Advanced-BAM: Entwicklung eines neuen Ankunftzeitmonitores mit sehr hoher Bandbreite für sehr geringe Ladungen als Teil der optischen Synchronisationssysteme von XFEL, FLASH und ELBE. Teilprojekt 1.",U03054,Erforschung kondensierter Materie - mit anderen Methoden,2019-07-01,2023-02-28,450412,Erkenntnisorientierte und programmübergreifende Grundlagenforschung,05K2019 - Advanced-BAM,PDIR,2019,True
1259,05K19UM3,Johannes Gutenberg-Universität Mainz,"Johannes Gutenberg-Universität Mainz - FB 08 Physik, Mathematik und Informatik - Institut für Physik - AG Wendt / LARISSA",Verbundprojekt 05K2019 - LISELatDREAMS: Entwicklung eines Systems zur selektiven Filterung von Isobaren mittels Laser zur Erweiterung der Anwendbarkeit von Beschleuniger-Massenspektrometrie. Teilprojekt 2.,U03053,Erforschung kondensierter Materie - Teilchenstrahlen,2019-07-01,2022-12-31,281981,Erkenntnisorientierte und programmübergreifende Grundlagenforschung,05K2019 - LISELatDREAMS,PDIR,2019,True
1262,05K19UMA,Johannes Gutenberg-Universität Mainz,"Johannes Gutenberg-Universität Mainz - FB 08 Physik, Mathematik und Informatik - Institut für Kernphysik",Kompakte Quellen für kurze Elektronenpulse mit hoher Repetitionsrate: Erzeugung ultrakurzer spinpolarisierter Elektronenpulse und Messung der erreichten Pulslängen mittels Smith Purcell-Strahlung.,U03054,Erforschung kondensierter Materie - mit anderen Methoden,2019-07-01,2022-12-31,284895,Erkenntnisorientierte und programmübergreifende Grundlagenforschung,"=""",PDIR,2019,True
1263,05K19VKC,Karlsruher Institut für Technologie (Universitätsaufgabe),Karlsruher Institut für Technologie (KIT) - Fakultät für Physik - Labor für Anwendungen von Synchrotronstrahlung (LAS),Verbundprojekt 05K2019 - TiMo: Timing-Modi für fortschrittliche Synchrotronstrahlungsquellen. Teilprojekt 2.,U03054,Erforschung kondensierter Materie - mit anderen Methoden,2019-07-01,2022-12-31,245020,Erkenntnisorientierte und programmübergreifende Grundlagenforschung,05K2019 - TiMo,PDIR,2019,True
1269,05K19UMB,Johannes Gutenberg-Universität Mainz,"Johannes Gutenberg-Universität Mainz - FB 08 Physik, Mathematik und Informatik - Institut für Kernphysik",Verbundprojekt 05K2019 - BETH: Hochbrilliante Elektronenstrahlen generiert durch neuartige thermisch widerstandsfähige Photokathoden. Teilprojekt 2.,U03054,Erforschung kondensierter Materie - mit anderen Methoden,2019-07-01,2023-12-31,352722,Erkenntnisorientierte und programmübergreifende Grundlagenforschung,05K2019 - BETH,PDIR,2019,True
1270,05K19PSA,Universität Siegen,Universität Siegen - Fakultät IV - Department Maschinenbau - Lehrstuhl für Oberflächen- und Werkstofftechnik,Verbundprojekt 05K2019 - SMART: SIS Mehrfachschichtsysteme für Anwendungen in der supraleitenden Hochfrequenztechnik. Teilprojekt 2.,U03054,Erforschung kondensierter Materie - mit anderen Methoden,2019-07-01,2022-12-31,416088,Erkenntnisorientierte und programmübergreifende Grundlagenforschung,05K2019 - SMART,PDIR,2019,True
1271,05K19RDA,Technische Universität Darmstadt,Technische Universität Darmstadt - Fachbereich Elektrotechnik und Informationstechnik - Institut für Theorie Elektromagnetischer Felder,Verbundprojekt 05K2019 - HTSSCU: Strukturierter Hochtemperatur-Supraleiter-Band-Undulator. Teilprojekt 2.,U03054,Erforschung kondensierter Materie - mit anderen Methoden,2019-07-01,2022-06-30,272815,Erkenntnisorientierte und programmübergreifende Grundlagenforschung,05K2019 - HTSSCU,PDIR,2019,True
1275,05K19CRA,Helmholtz-Zentrum Dresden - Rossendorf e. V.,Helmholtz-Zentrum Dresden - Rossendorf e. V. - Institut für Strahlenphysik,Verbundprojekt 05K2019 - LADIAG: Neue Diagnostiken für Hoch-Intensitätslaser. Teilprojekt 4: Kontrastmessung mittels spektraler Interferometrie.,U03054,Erforschung kondensierter Materie - mit anderen Methoden,2019-07-01,2022-12-31,189290,Erkenntnisorientierte und programmübergreifende Grundlagenforschung,05K2019 - LADIAG,PDIR,2019,True
1287,05E24CD1,GSI Helmholtzzentrum für Schwerionenforschung GmbH,GSI Helmholtzzentrum für Schwerionenforschung GmbH,"Tagungsbeihilfe zur Durchführung des 'UK-France-Germany trilateral, 28 - 29 May 2024'",U05073,Technologische Entwicklung- Beschleunigertechnologie,2024-05-01,2024-09-30,6444720,Erkenntnisorientierte und programmübergreifende Grundlagenforschung,"=""",PDIR,2024,True
1298,056BU26I/2,Humboldt-Universität zu Berlin,Humboldt-Universität zu Berlin - Mathematisch-Naturwissenschaftliche Fakultät I - Institut für Physik - Elementarteilchenphysik - Experimentelle Elementarteilchenphysik II,"L3-Experiment am Beschleuniger Lep, CERN - Entwicklung neuer Teilchendetektoren",U01011,Struktur und Wechselwirkung fundamentaler Teilchen - Aktivitäten beim CERN,1994-09-01,1996-03-31,54708,Erkenntnisorientierte und programmübergreifende Grundlagenforschung,"=""",PDIR,1994,True
1552,054WT85I/1,Bergische Universität Wuppertal,Bergische Universität Wuppertal - Fachbereich C - Mathematik und Naturwissenschaften - Fachgruppe Physik,Grenzfeldstärken in Supraleitenden Beschleunigungsresonatoren,U05073,Technologische Entwicklung- Beschleunigertechnologie,1985-09-01,1989-09-30,453220,Erkenntnisorientierte und programmübergreifende Grundlagenforschung,"=""",PDIR,1985,True
1788,05644PBA/8,Universität Bielefeld,Universität Bielefeld - Fakultät für Physik,Xps-Mikroskopie mit abbildendem Emissionsmikroskop und Fokussierender Multilayeroptik im direkten Undulatorstrahl,U03052,Erforschung kondensierter Materie - Synchrotronstrahlen,1995-04-01,1998-06-30,185431,Erkenntnisorientierte und programmübergreifende Grundlagenforschung,"=""",PDIR,1995,True
1789,05644UMA/7,Johannes Gutenberg-Universität Mainz,"Johannes Gutenberg-Universität Mainz - FB 08 Physik, Mathematik und Informatik - Institut für Physik",Xps-Mikroskopie mit abbildendem Emissionsmikroskop und Fokussierender Multilayeroptik im direkten Undulatorstrahl,U03052,Erforschung kondensierter Materie - Synchrotronstrahlen,1995-04-01,1998-03-31,120051,Erkenntnisorientierte und programmübergreifende Grundlagenforschung,"=""",PDIR,1995,True
1811,05650WEA/1,Friedrich-Alexander-Universität Erlangen-Nürnberg,Friedrich-Alexander-Universität Erlangen-Nürnberg - Naturwissenschaftliche Fakultät - Department Physik - Institut für Physik der Kondensierten Materie - Angewandte Physik,Unelastische Streuexperimente mit Synchrotronstrahlung - Weiterentwicklung und Erschließung neuer Anwendungsfelder,U03054,Erforschung kondensierter Materie - mit anderen Methoden,1995-04-01,1998-03-31,384399,Erkenntnisorientierte und programmübergreifende Grundlagenforschung,"=""",PDIR,1995,True
1863,051001K,Karlsruher Institut für Technologie (Universitätsaufgabe),Sondervermögen Großforschung beim Karlsruher Institut für Technologie (KIT) - Institut für Kernphysik,"Experimente auf dem Gebiet der Starken Wechselwirkungen am Speicherring des CERN, bei DESY und in Serpuchov (UDSSR) sowie Vorbereitung von Experimenten am 300-Gev-Beschleuniger, Speziell Neutrino-Zählerexperimente",U01013,Struktur und Wechselwirkung fundamentaler Teilchen - Aktivitäten beim CERN und bei DESY,1974-01-01,1976-12-31,962044,Erkenntnisorientierte und programmübergreifende Grundlagenforschung,"=""",PDIR,1974,True
1940,057WT80P/7,Bergische Universität Wuppertal,Bergische Universität Wuppertal - Fachbereich C - Mathematik und Naturwissenschaften - Fachgruppe Physik,Entwicklung supraleitender Materialien für Hochfeldanwendungen in Teilchenbeschleunigern,U01013,Struktur und Wechselwirkung fundamentaler Teilchen - Aktivitäten beim CERN und bei DESY,1996-04-01,1999-06-30,140708,Erkenntnisorientierte und programmübergreifende Grundlagenforschung,"=""",PDIR,1996,True
2030,05SR8KE1/1,Freie Universität Berlin,Freie Universität Berlin - Fachbereich Physik - Institut für Experimentalphysik,"Betrieb, Weiterentwicklung und Transfer des SX700/II-Strahlrohrs sowie Aufbau eines höchstauflösenden Undulatorstrahlrohrs bei BESSY II",U03052,Erforschung kondensierter Materie - Synchrotronstrahlen,1998-04-01,2001-03-31,428672,Erkenntnisorientierte und programmübergreifende Grundlagenforschung,"=""",PDIR,1998,True
